raw_name,grade,status,condition,stock,auction_price,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
samsung GALAXY J8 32GB,AF,Terdaftar,Produk Only,1,225000,90,2026-07-07 17:49:40,S0023-I07-O0090,20260707-174824,23,7,"[0,1614][1200,1865]",6da3846cb9d3,"samsung GALAXY J8 32GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 225,000"
samsung GALAXY J8 32GB,AJ,Terdaftar,Produk Only,1,153000,91,2026-07-07 17:49:44,S0024-I04-O0091,20260707-174824,24,4,"[0,820][1200,1072]",d7d98fd54075,"samsung GALAXY J8 32GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 153,000"
samsung GALAXY A8 PLUS 2018 64GB,AJ,Terdaftar,Produk Only,1,350000,92,2026-07-07 17:49:44,S0024-I05-O0092,20260707-174824,24,5,"[0,1072][1200,1323]",4fa63e161767,"samsung GALAXY A8 PLUS 2018 64GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 350,000"
samsung GALAXY A80 128GB,AG,Terdaftar,Produk Only,1,650000,93,2026-07-07 17:49:44,S0024-I06-O0093,20260707-174824,24,6,"[0,1323][1200,1574]",47932730f10a,"samsung GALAXY A80 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 650,000"
samsung GALAXY A73 256GB,AG,Terdaftar,Produk Only,1,1810000,94,2026-07-07 17:49:44,S0024-I07-O0094,20260707-174824,24,7,"[0,1574][1200,1825]",f4f83c5cb2c1,"samsung GALAXY A73 256GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,810,000"
samsung GALAXY A73 256GB,AI,Terdaftar,Produk Only,1,1100000,95,2026-07-07 17:49:44,S0024-I08-O0095,20260707-174824,24,8,"[0,1825][1200,1929]",16186f6a99a6,"samsung GALAXY A73 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,100,000"
samsung GALAXY A56 256GB,AD,Terdaftar,Produk Only,1,4020000,96,2026-07-07 17:49:48,S0025-I05-O0096,20260707-174824,25,5,"[0,1042][1200,1293]",f61317f6aada,"samsung GALAXY A56 256GB AD (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 4,020,000"
samsung GALAXY A71 128GB,AG,Terdaftar,Produk Only,1,940000,97,2026-07-07 17:49:48,S0025-I06-O0097,20260707-174824,25,6,"[0,1293][1200,1544]",8eb87e34559b,"samsung GALAXY A71 128GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 940,000"
samsung GALAXY A73 256GB,AG,Terdaftar,Produk Only,1,1810000,98,2026-07-07 17:49:48,S0025-I07-O0098,20260707-174824,25,7,"[0,1544][1200,1795]",f4f83c5cb2c1,"samsung GALAXY A73 256GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 1,810,000"
samsung GALAXY A55 256GB,AG,Terdaftar,Produk Only,1,2890000,99,2026-07-07 17:49:48,S0025-I08-O0099,20260707-174824,25,8,"[0,1795][1200,1929]",33f417d4790d,"samsung GALAXY A55 256GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 2,890,000"
samsung GALAXY A56 256GB,AC,Terdaftar,Produk Only,1,4220000,100,2026-07-07 17:49:53,S0026-I04-O0100,20260707-174824,26,4,"[0,1014][1200,1266]",d835e86b6fea,"samsung GALAXY A56 256GB AC (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 4,220,000"
